Id,Question,Answers,Category,Tag1,Tag2,Tag3,Association1,Association2
58,Where was the cheese purchased?,Market/Grocery Store/Door-to-door salesman/While in Mexico/Sent by relative or friends in Mexico/Farmer’s Market stand/Other (specify)/Don’t know,3,1,,,7,
59,What brand was the cheese?,fillin,3,1,,,7,
60,Was the cheese made from pasteurized milk?,Yes/No/Unknown,3,1,,,7,
61,How did you consume the cheese? ,"Ingredient in a uncooked dish                     /Ingredient in a cooked dish/Sprinkled on top of a dish or salad/Other (specify)/Don’t know
",3,1,,,7,
62,How many times did you eat this cheese between in the four weeks before your illness started as a meal or snack? ,fillin,3,1,,,7,
63,Do you still have the bag or block of cheese in your home?,Yes/No/Unknown,3,1,,,7,
64,"If yes, would you be willing to provide the cheese bag/block for laboratory testing? (If yes, please arrange to collect the bag/block for testing)",Yes/No/Unknown,3,1,,,7,
65,Interviewee Name,fillin,1,25,,,,
66,Address,fillin,1,25,,,,
67,Phone,fillin,1,25,,,,
68,Alternate Phone,fillin,1,25,,,,
69,Grade/Room,fillin,1,14,,,13,
70,Classroom teachers,fillin,1,14,,,13,
71,During the time period which days did you/your child attend school?   (check all that apply):   ,Monday/Tuesday/Wednesday/Thursday/Friday,1,14,,,13,
72,"Has your child been absent from school any days during the time period? (IF YES, what dates: )",Yes/No/Unknown,1,14,,,13,
73,Is your child currently in diapers or potty training?,Yes/No/Unknown,1,13,,,,
74,"Do you/your child have any food allergies or foods he/she does not eat (eggs, meat, dairy, etc)? (IF YES, please describe: )",Yes/No/Unknown,1,14,13,,15,
75,"While at school, did you/your child eat breakfast: ",Prepared at or sent from home/Prepared at facility/Unknown,3,14,7,,13,
76,"While at school, did you/your child eat lunch:  ",Prepared at or sent from home/Prepared at facility/Unknown,3,14,7,,13,
77,"While at school, did you/your child eat snack:  ",Prepared at or sent from home/Prepared at facility/Unknown,3,14,7,,13,
78,"Are you/your child on a special diet where you/your child receives different foods from the facility cafeteria than is normally served, such as a diabetic diet, lactose intolerant diet, etc.? (IF YES, please describe: )",Yes/No/Unknown,3,14,7,,13,
79,"Did you/your child have any contact with animals at school during the time period? This may include classroom pets, animals on the playground or school property, or animals brought into the school. (IF YES, what animals? ) (Describe the contact (petting, touching, kissing, etc))",Yes/No/Unknown,3,14,10,,13,
80,"During the time period, did you/your child eat any food brought into the school by someone else, such as food for a potluck, birthday treat, or other occasion?  (IF Yes, describe the food and when it was eaten)",Yes/No/Unknown,3,14,7,,13,
81,"During the time period, did you/your child attend any events during the school day that were held offsite, such as a field trip?  (If yes, please describe the events, dates, and locations: )",Yes/No/Unknown,3,14,,,13,
82,"During the time period, were there any special events held at the school, such as field day, or a party or celebration? (If yes, please describe the events, dates, and locations: )",Yes/No/Unknown,3,14,,,13,
83,"Are you/your child aware of anything out of the ordinary that occurred at school during the time period? (If yes, please describe: )",Yes/No/Unknown,3,14,,,13,
84,"During the time period, did your child attend any extracurricular activities outside of school (e.g. karate, dance, etc.)? (If yes, please describe: )",Yes/No/Unknown,3,14,,,13,
85,"Did you/your child travel outside of the US during the time period? (If yes, please describe the countries and dates of travel.)",Yes/No/Unknown,3,14,,,13,
86,"Did you/your child travel within the US during the time period? (If yes, please describe the city/state and dates of travel.)",Yes/No/Unknown,3,14,,,13,
87,"Did you/your child visit, work, or live on a farm within 7 days prior to illness?",Yes/No/Unknown,3,14,10,,13,
88,"Visit any animal exhibits (petting zoo, county fair, etc)? (If yes to either, did the case have exposure to manure?)",Yes/No/Unknown,3,14,10,,13,
89," Have contact with a pet or any other animal at home, school, work, etc.?",Yes/No/Unknown,3,14,10,,13,
90,"During the seven days before becoming ill, did [you/your child] have any type of contact with baby poultry?  ",Yes/No/Unknown,3,10,22,23,,
91,What type of contact did [you/your child] have with the baby poultry (Check all that apply),"Touched poultry/Held or snuggled with poultry/Kissed poultry/Touched cages/enclosures/Cared for poultry (fed/watered)/Cleaned cages or enclosures/Other (specify)
",3,10,22,23,,
92,Where did [you/your child] have contact with these baby poultry?  (Check all that apply),At home/Someone else’s home/Day care or Child care/School/Farm (other than home)/Petting zoo/Farming or Feed store/At another location (specify),3,10,22,23,,
93,"If kept at a home, Where were the baby poultry kept?  (Check all that apply)",Inside house/living space/Kitchen/Bedroom/Bathroom/Living Room or Den/Dining Room/Basement/Garage/Outdoor poultry pen or house/Other enclosure or cage outside/Other (specify),3,10,22,23,,
